,league,gamelength,result,k,d,a,fb,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,wards,wpm,wardkills,wcpm,totalgold,earnedgpm,goldspent,gspd,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
82,LEC,35.43333333,0,18,25,28,0,0.5079962371,0.7055503293000001,1.213546566,0,8.8568,1,4,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.79225,0.0,14.52986667,0.0,0,0.0,1.0,84093.0,2373.273754,109.0,3.0761994360000005,67.0,1.8908748819999999,61207.0,1076.4948259999999,58700.0,-0.10568777730000001,136.0,17.0,30.47977422,16494.0,15266.0,1228.0,25868.0,26043.0,-175.0,18708.0,17988.0,720.0,313.0,284.0,29.0,479.0,459.0,20.0
83,LEC,35.43333333,1,25,18,57,1,0.7055503293000001,0.5079962371,1.213546566,1,8.8568,4,1,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,14.79225,1.0,14.52986667,1.0,1,1.0,0.0,81321.0,2295.042333,148.0,4.1768579489999995,61.0,1.7215428030000002,71197.0,1358.432738,65250.0,0.10568777730000001,141.0,20.0,33.10442145,15266.0,16494.0,-1228.0,26043.0,25868.0,175.0,17988.0,18708.0,-720.0,284.0,313.0,-29.0,459.0,479.0,-20.0
84,LCK,45.85,1,11,16,31,0,0.23991275899999998,0.3489640131,0.5888767721,0,12.44116667,2,4,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,16.04045,0.0,15.78281667,0.0,0,1.0,2.0,84511.0,1843.206107,229.0,4.994547437,102.0,2.224645583,84349.0,1197.6183210000002,83450.0,-0.05772140114,199.0,8.0,36.0087241,14494.0,15974.0,-1480.0,22722.0,24352.0,-1630.0,17787.0,18429.0,-642.0,309.0,323.0,-14.0,537.0,526.0,11.0
85,LCK,45.85,0,16,11,32,1,0.3489640131,0.23991275899999998,0.5888767721,1,12.44116667,4,2,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,16.04045,1.0,15.78281667,1.0,1,2.0,1.0,76950.0,1678.2988,211.0,4.601962923,122.0,2.6608506000000003,85149.0,1215.0665210000002,88410.0,0.05772140114,185.0,7.0,34.00218103,15974.0,14494.0,1480.0,24352.0,22722.0,1630.0,18429.0,17787.0,642.0,323.0,309.0,14.0,526.0,537.0,-11.0
86,LCK,43.78333333,1,16,9,46,1,0.36543585840000004,0.20555767030000002,0.5709935287,1,6.948083333,3,3,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,15.65873333,1.0,15.77883333,0.0,0,2.0,0.0,65627.0,1498.903692,239.0,5.458698135,111.0,2.5352112680000003,82110.0,1231.897982,71975.0,-0.01991774302,175.0,16.0,30.85649029,15814.0,16199.0,-385.0,24178.0,24019.0,159.0,18719.0,19162.0,-443.0,318.0,343.0,-25.0,523.0,550.0,-27.0
87,LCK,43.78333333,0,9,16,13,0,0.20555767030000002,0.36543585840000004,0.5709935287,0,6.948083333,3,3,3.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,15.65873333,0.0,15.77883333,1.0,1,0.0,2.0,74215.0,1695.051389,214.0,4.887704606000001,131.0,2.9920060910000004,76410.0,1101.711458,73423.0,0.01991774302,190.0,16.0,36.97754092,16199.0,15814.0,385.0,24019.0,24178.0,-159.0,19162.0,18719.0,443.0,343.0,318.0,25.0,550.0,523.0,27.0
88,LCK,31.4,1,16,3,36,0,0.5095541401,0.09554140127,0.6050955414,1,12.22933333,3,1,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.65813333,0.0,16.82236667,1.0,1,0.0,1.0,50717.0,1615.191083,133.0,4.23566879,77.0,2.452229299,61164.0,1292.012739,54675.0,0.1034913917,129.0,49.0,37.07006369,15381.0,16123.0,-742.0,23880.0,25056.0,-1176.0,17846.0,18944.0,-1098.0,294.0,334.0,-40.0,499.0,536.0,-37.0
89,LCK,31.4,0,3,16,3,1,0.09554140127,0.5095541401,0.6050955414,0,12.22933333,1,3,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.65813333,1.0,16.82236667,0.0,0,1.0,0.0,26940.0,857.9617833999998,151.0,4.8089171969999995,55.0,1.7515923569999998,50675.0,957.9681529,49295.0,-0.1034913917,94.0,9.0,33.24840764,16123.0,15381.0,742.0,25056.0,23880.0,1176.0,18944.0,17846.0,1098.0,334.0,294.0,40.0,536.0,499.0,37.0
90,LCK,32.1,1,10,3,25,1,0.3115264798,0.09345794393,0.4049844237,0,10.6706,2,2,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,13.97098333,1.0,15.26071667,1.0,1,2.0,0.0,61704.0,1922.242991,117.0,3.644859813,65.0,2.024922118,58795.0,1176.691589,51130.0,0.07586045897999999,145.0,23.0,32.46105919,15635.0,15364.0,271.0,23166.0,22686.0,480.0,20072.0,19253.0,819.0,355.0,350.0,5.0,543.0,539.0,4.0
91,LCK,32.1,0,3,10,5,0,0.09345794393,0.3115264798,0.4049844237,1,10.6706,2,2,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.97098333,0.0,15.26071667,0.0,0,0.0,2.0,37239.0,1160.093458,150.0,4.672897196,42.0,1.308411215,48695.0,862.0498441999999,47393.0,-0.07586045897999999,124.0,0.0,32.58566978,15364.0,15635.0,-271.0,22686.0,23166.0,-480.0,19253.0,20072.0,-819.0,350.0,355.0,-5.0,539.0,543.0,-4.0
