gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15,0,0,0,0,0,0
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.28615,PI-RR,1,9.19,1,Blue,Top,Evi,DetonatioN FocusMe,Gnar,Qiyana,Gangplank,Akali,Elise,Olaf,26.53333333,0,0,4,4,7,22,0,0,0,0,0,0,0,3.879983333,0,0.03768844221,1.092964824,0,9.717566667,1,2,0,0,0,0,0,0,0,0,0,,0,13.58856667,0,0,1,10,0,23.77981667,0,1,11588,436.7336683,0.3120674333,0.2068443835,11,0.4145728643,0.1057692308,4,0.1507537688,4,6, , ,8407,184.059799,8300,-0.1514476615,180,8,4,1,7.085427136,3078,3440,-362,4670,5468,-798,4530,5051,-521,76,90,-14,116,122,-6,0,0,0,0,0,0
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.28615,PI-RR,1,9.19,2,Blue,Jungle,Steal,DetonatioN FocusMe,Ekko,Qiyana,Gangplank,Akali,Elise,Olaf,26.53333333,0,1,4,5,7,22,0,0,0,0,0,0,0,3.879983333,0.03768844221,0.2638190955,1.092964824,1,9.717566667,1,2,1,2,0,0,0,1,0,0,0,,0,13.58856667,0,0,1,10,0,23.77981667,0,1,7925,298.6809045,0.2134220235,0.1668623415,24,0.9045226131,0.2307692308,8,0.3015075377,11,13, , ,7463,148.4819095,7360,-0.2967891235,35,96,76,0,4.93718593,3684,4055,-371,4912,6278,-1366,3679,3928,-249,60,64,-4,88,105,-17,0,0,0,0,0,0
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.28615,PI-RR,1,9.19,3,Blue,Middle,Ceros,DetonatioN FocusMe,Nocturne,Qiyana,Gangplank,Akali,Elise,Olaf,26.53333333,0,1,5,6,7,22,0,0,0,0,0,0,0,3.879983333,0.03768844221,0.1130653266,1.092964824,0,9.717566667,1,2,0,0,0,0,0,0,0,0,0,,0,13.58856667,0,0,1,10,0,23.77981667,0,1,7557,284.8115578,0.2035117012,0.2101056305,13,0.4899497487,0.125,1,0.03768844221,6,7, , ,8484,186.961809,7700,-0.2817294282,186,6,4,0,7.236180905,3926,3569,357,5487,6116,-629,4751,4533,218,88,85,3,131,150,-19,0,0,0,0,0,0
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.28615,PI-RR,1,9.19,4,Blue,ADC,Yutapon,DetonatioN FocusMe,Lucian,Qiyana,Gangplank,Akali,Elise,Olaf,26.53333333,0,3,4,1,7,22,1,0,0,0,0,0,0,3.879983333,0.1130653266,0.4145728643,1.092964824,0,9.717566667,1,2,0,0,0,0,0,0,0,0,0,,0,13.58856667,0,0,1,10,0,23.77981667,0,1,7369,277.7261307,0.1984488191,0.3007428867,9,0.3391959799,0.08653846154,7,0.2638190955,3,4, , ,10624,267.6150754,10150,-0.2153846154,219,20,20,0,9.007537688,3579,3969,-390,5313,7142,-1829,3526,3532,-6,87,76,11,119,134,-15,0,0,0,0,0,0
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.28615,PI-RR,1,9.19,5,Blue,Support,Gaeng,DetonatioN FocusMe,Thresh,Qiyana,Gangplank,Akali,Elise,Olaf,26.53333333,0,2,5,2,7,22,0,0,0,0,0,0,1,3.879983333,0.07537688442,0,1.092964824,0,9.717566667,1,2,0,0,0,0,0,0,0,0,0,,0,13.58856667,0,0,1,10,0,23.77981667,0,1,2694,101.5326633,0.07255002289,0.1154447579,47,1.771356784,0.4519230769,8,0.3015075377,13,14, , ,6249,102.7281407,5450,-0.296875,12,2,2,0,0.527638191,2088,2394,-306,3163,4319,-1156,2731,2376,355,4,3,1,6,5,1,0,0,0,0,0,0
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.28615,PI-RR,1,9.19,6,Red,Top,Vizicsacsi,Splyce,Kennen,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.53333333,1,1,1,12,22,7,0,0,0,0,0,0,0,3.879983333,0.03768844221,0,1.092964824,0,9.717566667,2,1,0,0,0,0,0,0,0,0,1,,1,13.58856667,1,1,10,1,1,23.77981667,1,0,14478,545.6532663,0.2431479242,0.1596708114,15,0.5653266332,0.1875,8,0.3015075377,7,9, , ,9759,235.0145729,9660,0.1514476615,182,0,0,0,6.859296482,3440,3078,362,5468,4670,798,5051,4530,521,90,76,14,122,116,6,0,0,0,0,0,0
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.28615,PI-RR,1,9.19,7,Red,Jungle,Xerxe,Splyce,Hecarim,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.53333333,1,7,1,6,22,7,1,0,0,0,1,0,0,3.879983333,0.2638190955,0.03768844221,1.092964824,0,9.717566667,2,1,2,1,0,1,0,1,0,0,1,,1,13.58856667,1,1,10,1,1,23.77981667,1,0,7782,293.2914573,0.1306932688,0.1998719708,9,0.3391959799,0.1125,7,0.2638190955,8,10, , ,11329,294.1854271,9925,0.2967891235,18,128,78,12,5.502512563,4055,3684,371,6278,4912,1366,3928,3679,249,64,60,4,105,88,17,0,0,0,0,0,0
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.28615,PI-RR,1,9.19,8,Red,Middle,Humanoid,Splyce,Ryze,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.53333333,1,3,2,10,22,7,0,0,0,0,0,0,0,3.879983333,0.1130653266,0.03768844221,1.092964824,0,9.717566667,2,1,0,0,0,0,0,0,0,0,1,,1,13.58856667,1,1,10,1,1,23.77981667,1,0,12668,477.4371859,0.2127502351,0.2157219821,15,0.5653266332,0.1875,12,0.4522613065,6,7, , ,11948,317.5145729,10225,0.2817294282,222,44,24,11,10.02512563,3569,3926,-357,6116,5487,629,4533,4751,-218,85,88,-3,150,131,19,0,0,0,0,0,0
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.28615,PI-RR,1,9.19,9,Red,ADC,Kobbe,Splyce,Xayah,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.53333333,1,11,0,5,22,7,3,0,0,0,0,1,0,3.879983333,0.4145728643,0.1130653266,1.092964824,0,9.717566667,2,1,0,0,0,0,0,0,0,0,1,,1,13.58856667,1,1,10,1,1,23.77981667,1,0,20899,787.6507538,0.3509841462,0.3009894094,11,0.4145728643,0.1375,11,0.4145728643,3,4, , ,15278,443.0170854,12600,0.2153846154,253,16,12,0,10.13819095,3969,3579,390,7142,5313,1829,3532,3526,6,76,87,-11,134,119,15,0,0,0,0,0,0
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.28615,PI-RR,1,9.19,10,Red,Support,Norskeren,Splyce,Rakan,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.53333333,1,0,3,18,22,7,0,0,0,0,0,1,0,3.879983333,0,0.07537688442,1.092964824,0,9.717566667,2,1,0,0,0,0,0,0,0,0,1,,1,13.58856667,1,1,10,1,1,23.77981667,1,0,3717,140.0879397,0.06242442563,0.1237458262,30,1.130653266,0.375,13,0.4899497487,11,11, , ,8356,182.1376884,7350,0.296875,13,0,0,0,0.4899497487,2394,2088,306,4319,3163,1156,2376,2731,-355,3,4,-1,5,6,-1,0,0,0,0,0,0
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.28615,PI-RR,1,9.19,100,Blue,Team,Team,DetonatioN FocusMe, ,Qiyana,Gangplank,Akali,Elise,Olaf,26.53333333,0,7,22,18,7,22, , , , ,0,0,1,3.879983333,0.2638190955,0.8291457286,1.092964824,1,9.717566667,1,2,1,2,0,0,0,1,0,0,0,13.10958333,0,13.58856667,0,0,1,10,0,23.77981667,0,1,37133,1399.484925, , ,104,3.91959799,1,28,1.055276382,37,44,0.4358974359,0.2682926829,41227,889.8467337,38960,-0.2434625789,632,132,106,1,28.79396985,16355,17427,-1072,23545,29323,-5778,19217,19420,-203,315,318,-3,460,516,-56,0,0,0,0,0,0
1070340,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070340?gameHash=3e0204c000597715&tab=overview,WC,2019-W,43740.28615,PI-RR,1,9.19,200,Red,Team,Team,Splyce, ,Heimerdinger,Pantheon,Syndra,Cassiopeia,Kai'Sa,26.53333333,1,22,7,51,22,7, , , , ,1,1,0,3.879983333,0.8291457286,0.2638190955,1.092964824,0,9.717566667,2,1,2,1,0,1,0,1,0,0,1,13.10958333,1,13.58856667,1,1,10,1,1,23.77981667,1,0,59544,2244.120603, , ,80,3.015075377,1,51,1.922110553,35,41,0.7105263158,0.2807017544,56670,1471.869347,49760,0.2434625789,688,188,114,23,33.01507538,17427,16355,1072,29323,23545,5778,19420,19217,203,318,315,3,516,460,56,0,0,0,0,0,0
1070330,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,WC,2019-W,43740.22389,PI-RR,1,9.19,1,Blue,Top,Huni,Clutch Gaming,Akali,Syndra,Yuumi,Qiyana,Caitlyn,Draven,38.06666667,0,3,5,4,8,16,0,0,0,0,0,1,0,7.924383333,0.07880910683,0.05253940455,0.6304728546,0,17.12161667,0,4,0,0,0,0,0,0,0,0,1,,0,13.69641667,0,0,3,11,0,22.9774,0,2,14933,392.2854641,0.2885771156,0.2596638836,8,0.2101576182,0.05882352941,8,0.2101576182,2,2, , ,14601,253.923993,13600,-0.005499541705,300,5,1,0,8.012259194,3438,2895,543,4816,5550,-734,4668,4347,321,85,68,17,121,110,11,0,0,0,0,0,0
1070330,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,WC,2019-W,43740.22389,PI-RR,1,9.19,2,Blue,Jungle,Lira,Clutch Gaming,Ekko,Syndra,Yuumi,Qiyana,Caitlyn,Draven,38.06666667,0,1,5,6,8,16,0,0,0,0,1,0,0,7.924383333,0.02626970228,0.07880910683,0.6304728546,0,17.12161667,0,4,0,3,0,0,0,0,0,0,1,,0,13.69641667,0,0,3,11,0,22.9774,0,2,10854,285.1313485,0.2097512899,0.180309038,43,1.129597198,0.3161764706,20,0.5253940455,15,17, , ,11647,176.3232925,11325,-0.08456659619,66,134,97,9,5.253940455,3210,3753,-543,4663,5204,-541,3130,4078,-948,47,63,-16,75,89,-14,0,0,0,0,0,0
1070330,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,WC,2019-W,43740.22389,PI-RR,1,9.19,3,Blue,Middle,Damonte,Clutch Gaming,Renekton,Syndra,Yuumi,Qiyana,Caitlyn,Draven,38.06666667,0,1,3,1,8,16,0,0,0,0,0,0,0,7.924383333,0.02626970228,0.1313485114,0.6304728546,0,17.12161667,0,4,0,1,0,0,0,0,0,0,1,,0,13.69641667,0,0,3,11,0,22.9774,0,2,5124,134.6059545,0.09902023306,0.1823775292,25,0.6567425569,0.1838235294,6,0.1576182137,13,13, , ,11724,178.3460595,11325,-0.3598841419,266,7,6,0,7.171628722,3016,3733,-717,5064,5650,-586,4239,4842,-603,75,86,-11,126,140,-14,0,0,0,0,0,0
1070330,https://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1070330?gameHash=8f523c2c729a7363&tab=overview,WC,2019-W,43740.22389,PI-RR,1,9.19,4,Blue,ADC,Cody Sun,Clutch Gaming,Xayah,Syndra,Yuumi,Qiyana,Caitlyn,Draven,38.06666667,0,3,1,2,8,16,1,0,0,0,0,0,0,7.924383333,0.07880910683,0.1313485114,0.6304728546,0,17.12161667,0,4,0,0,0,0,0,0,0,0,1,,0,13.69641667,0,0,3,11,0,22.9774,0,2,15290,401.6637478,0.2954760662,0.3162115986,13,0.3415061296,0.09558823529,8,0.2101576182,6,6, , ,16706,309.2217163,15100,0.11558669,375,24,24,0,10.48161121,3524,3040,484,4852,4845,7,3287,3284,3,88,65,23,120,105,15,0,0,0,0,0,0
