,league,gamelength,result,k,d,a,fb,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardkills,wcpm,totalgold,earnedgpm,goldspent,gspd,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15
172,WC,32.6,0,5,10,9,1,0.1533742331,0.30674846629999997,0.4601226994,1,7.203716667,2,3,2,3,0,1,0,1,0,0,0,13.77661667,0,12.97258333,0,0,2,48390,1484.355828, , ,127,3.8957055210000004,41,1.257668712,52415,953.5521472000001,50603,-0.12907161609999998,112,4,31.56441718,15371,16323,-952,23373,25994,-2621,17225,18682,-1457,282,322,-40,469,522
173,WC,32.6,1,10,5,19,0,0.30674846629999997,0.1533742331,0.4601226994,0,7.203716667,3,2,3,2,0,1,2,0,0,0,1,13.77661667,1,12.97258333,1,2,0,67555,2072.2392640000003, , ,92,2.82208589,58,1.779141104,62713,1269.441718,57585,0.12907161609999998,120,37,33.49693252,16323,15371,952,25994,23373,2621,18682,17225,1457,322,282,40,522,469
174,WC,32.3,0,4,13,8,0,0.1238390093,0.3715170279,0.4953560372,0,5.843716667000001,0,5,0,5,0,0,0,0,0,0,0,10.66626667,1,12.2302,0,0,1,17671,547.0897832999999, , ,114,3.529411765,59,1.826625387,52031,956.2043344000001,49150,-0.1835484556,118,9,33.40557276,14736,17243,-2507,25288,27804,-2516,16975,18792,-1817,294,315,-21,489,502
175,WC,32.3,1,12,4,32,1,0.3715170279,0.1238390093,0.4953560372,1,5.843716667000001,5,0,5,0,2,3,0,0,0,0,1,10.66626667,0,12.2302,1,1,0,50323,1557.9876160000001, , ,144,4.4582043339999995,56,1.73374613,65659,1378.123839,59083,0.1835484556,148,35,36.59442724,17243,14736,2507,27804,25288,2516,18792,16975,1817,315,294,21,502,489
176,WC,30.95,1,12,6,36,0,0.3877221325,0.19386106620000002,0.5815831987,1,14.10013333,3,0,3,0,0,1,2,0,0,0,0,16.1152,1,14.538,0,1,0,67528,2181.84168, , ,121,3.909531502,54,1.744749596,58664,1238.92084,49433,0.07340142189,106,24,33.63489499,16639,16115,524,25571,23464,2107,19197,18024,1173,299,303,-4,503,494
177,WC,30.95,0,6,12,17,1,0.19386106620000002,0.3877221325,0.5815831987,0,14.10013333,0,3,0,3,0,0,0,0,0,0,1,16.1152,0,14.538,1,0,1,47085,1521.324717, , ,97,3.1340872369999997,54,1.744749596,47176,867.7415186000001,45933,-0.07340142189,108,0,30.01615509,16115,16639,-524,23464,25571,-2107,18024,19197,-1173,303,299,4,494,503
178,WC,32.08333333,1,22,13,36,0,0.6857142856999999,0.4051948052,1.0909090909999999,1,11.2824,3,1,3,1,1,0,1,1,0,0,1,13.99228333,1,14.47866667,1,1,0,48748,1519.4181820000001, , ,120,3.74025974,43,1.34025974,62085,1280.166234,56110,0.04482507289,139,1,32.91428571,15916,16959,-1043,25824,25231,593,18524,19472,-948,276,337,-61,477,534
179,WC,32.08333333,0,13,22,26,1,0.4051948052,0.6857142856999999,1.0909090909999999,0,11.2824,1,3,1,3,1,0,0,0,0,0,0,13.99228333,0,14.47866667,0,0,1,56731,1768.238961, , ,100,3.116883117,45,1.4025974030000001,56087,1093.215584,53650,-0.04482507289,156,4,33.53766234,16959,15916,1043,25231,25824,-593,19472,18524,948,337,276,61,534,477
180,WC,29.5,1,13,2,31,1,0.4406779661,0.06779661017000001,0.5084745763,1,9.957783333,4,0,4,0,0,2,1,1,0,0,1,11.54763333,1,16.32276667,1,1,0,62509,2118.949153, , ,125,4.237288136,42,1.423728814,60196,1381.830508,52400,0.2095720008,129,27,39.05084746,16308,14747,1561,26940,22526,4414,19374,18211,1163,366,332,34,610,531
181,WC,29.5,0,2,13,6,0,0.06779661017000001,0.4406779661,0.5084745763,0,9.957783333,0,4,0,4,0,0,0,0,0,0,0,11.54763333,0,16.32276667,0,0,1,38835,1316.440678, , ,96,3.254237288,47,1.5932203390000002,43580,818.5762712000001,42460,-0.2095720008,114,0,32.88135593,14747,16308,-1561,22526,26940,-4414,18211,19374,-1163,332,366,-34,531,610
182,WC,24.11666667,1,18,4,33,1,0.7463718037,0.1658604008,0.9122322046,0,6.651083333,1,2,1,2,0,0,0,1,0,0,1,15.32783333,1,14.38868333,1,0,0,57830,2397.9267449999998, , ,77,3.192812716,34,1.409813407,46693,1266.991016,40250,0.1289256198,91,5,32.92328956,16458,15060,1398,25609,22768,2841,18918,19064,-146,335,321,14,507,490
183,WC,24.11666667,0,4,18,3,0,0.1658604008,0.7463718037,0.9122322046,1,6.651083333,2,1,2,1,0,1,0,1,0,0,0,15.32783333,0,14.38868333,0,0,0,35621,1477.028334, , ,70,2.902557015,27,1.119557706,36552,846.4934347000001,35375,-0.1289256198,105,8,31.34761576,15060,16458,-1398,22768,25609,-2841,19064,18918,146,321,335,-14,490,507
